"Path","Name","Length","Sha256","SignatureStatus","Signer","Issuer"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Modem\qcsubsys_ext_mpss8250.inf","qcsubsys_ext_mpss8250.inf","27134","E8203F1E2BCD92DCA25ED485E857374195AF249AEDB72D1CE59AB6892AB37E04","","",""
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Sensors\qcsubsys_ext_scss8250.cat","qcsubsys_ext_scss8250.cat","21627","13D0F9D3DA96A1BBFE448EA1147A854FDFB0AC67913E83C736DD7E3E925B404E","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Sensors\qcsubsys_ext_scss8250.inf","qcsubsys_ext_scss8250.inf","32604","D3EECDD37CAE6AD3DDA079C1DC5A8BFF3800BE0D0DAAE8CFCFB082058974E554","","",""
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Generic\Subsystems\SSDD\qcsubsys850.cat","qcsubsys850.cat","15255","BDDF320C7E2D7B0EB305AA86DE605C0E8C23E8C573D1055ABC85278AFB31ACB0","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Generic\Subsystems\SSDD\qcsubsys850.sys","qcsubsys850.sys","517168","F6AC4E8C240E42CD40C24C3F76B1DDC431EA6BF6F5C1B6510B78E072B4931931","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Generic\Subsystems\Subsys_Extension\qcsubsys_extension850.cat","qcsubsys_extension850.cat","28826","FF5A23DBAEB2E84BB0F2892C6E62B93544D257892D6C0656C7BA1CA7EDEFFEF2","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Oneplus\Subsystems\SSDD\qcsubsys850.cat","qcsubsys850.cat","15255","BDDF320C7E2D7B0EB305AA86DE605C0E8C23E8C573D1055ABC85278AFB31ACB0","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Oneplus\Subsystems\SSDD\qcsubsys850.sys","qcsubsys850.sys","517168","F6AC4E8C240E42CD40C24C3F76B1DDC431EA6BF6F5C1B6510B78E072B4931931","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Oneplus\Subsystems\Subsys_Extension\qcsubsys_extension850.cat","qcsubsys_extension850.cat","28826","FF5A23DBAEB2E84BB0F2892C6E62B93544D257892D6C0656C7BA1CA7EDEFFEF2","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Xiaomi\Subsystems\SSDD\qcsubsys850.cat","qcsubsys850.cat","15255","BDDF320C7E2D7B0EB305AA86DE605C0E8C23E8C573D1055ABC85278AFB31ACB0","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
"C:\yjc_code\K40_Win11\sound_code\WOA-Drivers-main\components\SDM845\Device\Xiaomi\Subsystems\SSDD\qcsubsys850.sys","qcsubsys850.sys","517168","F6AC4E8C240E42CD40C24C3F76B1DDC431EA6BF6F5C1B6510B78E072B4931931","Valid","CN=QUALCOMM Incorporated, O=QUALCOMM Incorporated, L=San Diego, S=California, C=US","CN=DigiCert SHA2 High Assurance Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US"
